CRUDE,INTEREST,FOREIGN,DJIA,GNP,PURCHASE,CONSUMER,,,,,,,,
10.9,7.61,31,974.9,1718,1.757,234.4,,,,,,,,
12,7.42,35,894.6,1918,1.649,263.8,,,,,,,,
12.5,8.41,42,820.2,2164,1.532,308.3,,,,,,,,
17.7,9.44,54,844.4,2418,1.38,347.5,,,,,,,,
28.1,11.46,83,891.4,2732,1.215,349.4,,,,,,,,
35.6,13.91,109,932.9,3053,1.098,366.6,,,,,,,,
31.8,13,125,884.4,3166,1.035,381.1,,,,,,,,
29,11.11,137,1190.3,3406,1,430.4,,,,,,,,
28.6,12.44,165,1178.5,3772,0.961,511.8,,,,,,,,
26.8,10.62,185,1328.2,4015,0.928,592.4,,,,,,,,
14.6,7.68,209,1792.8,4240,0.913,646.1,,,,,,,,
17.9,8.38,244,2276,4527,0.88,685.5,,,,,,,,
